date,what_day,hour,holiday,weekend,weather,temp_high,temp_low,temp_mean,temp_predict
20150101,4,06,1,1,0,19,6,12.5,6.0
20150101,4,07,1,1,0,19,6,12.5,7.625
20150101,4,08,1,1,0,19,6,12.5,9.25
20150101,4,09,1,1,0,19,6,12.5,10.875
20150101,4,10,1,1,0,19,6,12.5,12.5
20150101,4,11,1,1,0,19,6,12.5,14.125
20150101,4,12,1,1,0,19,6,12.5,15.75
20150101,4,13,1,1,0,19,6,12.5,17.375
20150101,4,14,1,1,0,19,6,12.5,19.0
20150101,4,15,1,1,0,19,6,12.5,18.1875
20150101,4,16,1,1,0,19,6,12.5,17.375
20150101,4,17,1,1,0,19,6,12.5,16.5625
20150101,4,18,1,1,0,19,6,12.5,15.75
20150101,4,19,1,1,0,19,6,12.5,14.9375
20150101,4,20,1,1,0,19,6,12.5,14.125
20150101,4,21,1,1,0,19,6,12.5,13.3125
20150102,5,06,1,1,0,20,7,13.5,7.0
20150102,5,07,1,1,0,20,7,13.5,8.625
20150102,5,08,1,1,0,20,7,13.5,10.25
20150102,5,09,1,1,0,20,7,13.5,11.875
20150102,5,10,1,1,0,20,7,13.5,13.5
20150102,5,11,1,1,0,20,7,13.5,15.125
20150102,5,12,1,1,0,20,7,13.5,16.75
20150102,5,13,1,1,0,20,7,13.5,18.375
20150102,5,14,1,1,0,20,7,13.5,20.0
20150102,5,15,1,1,0,20,7,13.5,19.1875
20150102,5,16,1,1,0,20,7,13.5,18.375
20150102,5,17,1,1,0,20,7,13.5,17.5625
20150102,5,18,1,1,0,20,7,13.5,16.75
20150102,5,19,1,1,0,20,7,13.5,15.9375
20150102,5,20,1,1,0,20,7,13.5,15.125
20150102,5,21,1,1,0,20,7,13.5,14.3125
20150103,6,06,1,1,0,21,8,14.5,8.0
20150103,6,07,1,1,0,21,8,14.5,9.625
20150103,6,08,1,1,0,21,8,14.5,11.25
20150103,6,09,1,1,0,21,8,14.5,12.875
20150103,6,10,1,1,0,21,8,14.5,14.5
20150103,6,11,1,1,0,21,8,14.5,16.125
20150103,6,12,1,1,0,21,8,14.5,17.75
20150103,6,13,1,1,0,21,8,14.5,19.375
20150103,6,14,1,1,0,21,8,14.5,21.0
20150103,6,15,1,1,0,21,8,14.5,20.1875
20150103,6,16,1,1,0,21,8,14.5,19.375
20150103,6,17,1,1,0,21,8,14.5,18.5625
20150103,6,18,1,1,0,21,8,14.5,17.75
20150103,6,19,1,1,0,21,8,14.5,16.9375
20150103,6,20,1,1,0,21,8,14.5,16.125
20150103,6,21,1,1,0,21,8,14.5,15.3125
20150104,7,06,0,0,0,23,14,18.5,14.0
20150104,7,07,0,0,0,23,14,18.5,15.125
20150104,7,08,0,0,0,23,14,18.5,16.25
20150104,7,09,0,0,0,23,14,18.5,17.375
20150104,7,10,0,0,0,23,14,18.5,18.5
20150104,7,11,0,0,0,23,14,18.5,19.625
20150104,7,12,0,0,0,23,14,18.5,20.75
20150104,7,13,0,0,0,23,14,18.5,21.875
20150104,7,14,0,0,0,23,14,18.5,23.0
20150104,7,15,0,0,0,23,14,18.5,22.4375
20150104,7,16,0,0,0,23,14,18.5,21.875
20150104,7,17,0,0,0,23,14,18.5,21.3125
20150104,7,18,0,0,0,23,14,18.5,20.75
20150104,7,19,0,0,0,23,14,18.5,20.1875
20150104,7,20,0,0,0,23,14,18.5,19.625
20150104,7,21,0,0,0,23,14,18.5,19.0625
20150105,1,06,0,0,0,23,17,20.0,17.0
20150105,1,07,0,0,0,23,17,20.0,17.75
20150105,1,08,0,0,0,23,17,20.0,18.5
20150105,1,09,0,0,0,23,17,20.0,19.25
20150105,1,10,0,0,0,23,17,20.0,20.0
20150105,1,11,0,0,0,23,17,20.0,20.75
20150105,1,12,0,0,0,23,17,20.0,21.5
20150105,1,13,0,0,0,23,17,20.0,22.25
20150105,1,14,0,0,0,23,17,20.0,23.0
20150105,1,15,0,0,0,23,17,20.0,22.625
20150105,1,16,0,0,0,23,17,20.0,22.25
20150105,1,17,0,0,0,23,17,20.0,21.875
20150105,1,18,0,0,0,23,17,20.0,21.5
20150105,1,19,0,0,0,23,17,20.0,21.125
20150105,1,20,0,0,0,23,17,20.0,20.75
20150105,1,21,0,0,0,23,17,20.0,20.375
20150106,2,06,0,0,1,24,14,19.0,14.0
20150106,2,07,0,0,1,24,14,19.0,15.25
20150106,2,08,0,0,1,24,14,19.0,16.5
20150106,2,09,0,0,1,24,14,19.0,17.75
20150106,2,10,0,0,1,24,14,19.0,19.0
20150106,2,11,0,0,1,24,14,19.0,20.25
20150106,2,12,0,0,1,24,14,19.0,21.5
20150106,2,13,0,0,1,24,14,19.0,22.75
20150106,2,14,0,0,1,24,14,19.0,24.0
20150106,2,15,0,0,1,24,14,19.0,23.375
20150106,2,16,0,0,1,24,14,19.0,22.75
20150106,2,17,0,0,1,24,14,19.0,22.125
20150106,2,18,0,0,1,24,14,19.0,21.5
20150106,2,19,0,0,1,24,14,19.0,20.875
20150106,2,20,0,0,1,24,14,19.0,20.25
20150106,2,21,0,0,1,24,14,19.0,19.625
20150107,3,06,0,0,0,17,10,13.5,10.0
20150107,3,07,0,0,0,17,10,13.5,10.875
20150107,3,08,0,0,0,17,10,13.5,11.75
20150107,3,09,0,0,0,17,10,13.5,12.625
20150107,3,10,0,0,0,17,10,13.5,13.5
20150107,3,11,0,0,0,17,10,13.5,14.375
20150107,3,12,0,0,0,17,10,13.5,15.25
20150107,3,13,0,0,0,17,10,13.5,16.125
20150107,3,14,0,0,0,17,10,13.5,17.0
20150107,3,15,0,0,0,17,10,13.5,16.5625
20150107,3,16,0,0,0,17,10,13.5,16.125
20150107,3,17,0,0,0,17,10,13.5,15.6875
20150107,3,18,0,0,0,17,10,13.5,15.25
20150107,3,19,0,0,0,17,10,13.5,14.8125
20150107,3,20,0,0,0,17,10,13.5,14.375
20150107,3,21,0,0,0,17,10,13.5,13.9375
